id,popularity,release_date,hit_miss,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,tempo_confidence,time_signature,time_signature_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
75ZvA4QfFiZvzhj2xkaWAh,87,9/12/16,1,223.34667000000002,8,0.568,-5.4079999999999995,0,0.645,143.95,0.529,4,0.904,0.0689,0.556,0.5379999999999999,0.0,0.196,0.0382,0.29100000000000004
00dWZUgfnbXcVBfU6Mq435,0,8/3/16,0,213.77565,0,0.626,-5.722,1,0.516,112.039,1.0,4,0.9079999999999999,0.606,0.639,0.85,0.0,0.195,0.0391,0.825
01ArfGZR4dDkhUIHMwn7zf,4,22/6/16,0,249.88154,1,0.32299999999999995,-3.65,0,0.473,74.165,0.043,4,1.0,0.34,0.599,0.6779999999999999,0.0,0.106,0.0487,0.815
0GMOPInhpswsGtH2hLrUki,0,1/2/16,0,178.3902,7,0.493,-3.065,1,0.318,113.875,0.0,3,1.0,0.779,0.428,0.778,0.0323,0.368,0.0317,0.8109999999999999
0HKfVeOcNLQrnzbh8CaydF,16,20/10/16,0,266.18304,3,0.355,-5.246,0,0.0,142.004,0.905,4,1.0,0.10800000000000001,0.652,0.972,0.0,0.105,0.17800000000000002,0.67
0IVNEpum7bt9BzmrziLlR3,0,14/9/16,0,262.10132000000004,2,0.16699999999999998,-7.707000000000001,1,0.319,81.043,0.616,4,1.0,0.428,0.778,0.904,2.06e-06,0.11900000000000001,0.16699999999999998,0.6509999999999999
0ZHqnmNdPHsg7NsyrJKU8h,0,19/5/16,0,273.5537,2,0.73,-7.952000000000001,1,0.6709999999999999,82.115,0.195,4,0.905,0.625,0.44,0.452,0.0,0.10800000000000001,0.0546,0.423
0f3TPQZouFhdcgw3INUoWv,14,5/8/16,0,295.07306,2,0.47600000000000003,-7.211,1,0.5539999999999999,81.235,0.032,4,0.99,0.319,0.49200000000000005,0.71,0.0,0.285,0.0521,0.35200000000000004
0mTChtYbNyDDNaN6RS5G9S,0,8/10/16,0,257.55574,11,0.142,-4.4,0,0.35200000000000004,109.73700000000001,0.36,4,0.9259999999999999,0.28300000000000003,0.5479999999999999,0.8759999999999999,0.0,0.0896,0.077,0.7090000000000001
0vRzmyE1fPZrXZ3mAM9Gfm,0,23/10/16,0,233.4,9,1.0,-8.055,1,0.7240000000000001,98.936,0.07,1,0.843,0.9309999999999999,0.301,0.242,3.12e-06,0.184,0.0354,0.10800000000000001
0xyFcLb9001H4Shk7RiN8B,0,8/7/16,0,236.38231000000002,10,0.154,-4.212,0,0.385,123.838,0.7440000000000001,4,1.0,0.679,0.64,0.821,0.0,0.161,0.0611,0.55
