id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
7m9OqQk4RVRkw9JJdeAw96,88,2017-08-25,1,119.13333,-9.144,134.02100000000002,0.462,4,1.0,0,0.38,0,0.101,0.469,0.872,0.391,4.13e-06,0.297,0.242,0.43700000000000006
41zXlQxzTi6cGAjpOXyLYH,89,2017-12-22,1,203.56948,-8.461,170.16299999999995,0.206,3,1.0,7,0.44,1,0.701,0.737,0.483,0.41200000000000003,0.0,0.11599999999999999,0.0402,0.247
7sO5G9EABYOXQKNPNiE9NR,85,2017-10-30,1,172.8,-8.28,100.007,0.476,4,0.5539999999999999,9,0.275,1,0.399,0.149,0.88,0.428,5.07e-05,0.114,0.20600000000000002,0.33299999999999996
06INBsv0bJkutdxQ3LJUKI,0,2017-08-03,0,165.88803,-6.6560000000000015,175.96,0.292,4,1.0,9,0.312,1,0.42,0.583,0.605,0.528,0.0,0.0939,0.0466,0.784
07vkVNDZSa2IsBej4rn8He,0,2017-05-09,0,344.2016799999999,-3.937,121.986,0.873,4,1.0,9,0.439,0,0.442,0.42700000000000005,0.693,0.85,0.0,0.268,0.0399,0.7070000000000001
0EbS3JHuF3ypnZpXxIWslY,2,2017-08-07,0,264.78717,-9.234,103.975,0.691,4,1.0,9,0.388,1,0.35700000000000004,0.537,0.706,0.7040000000000001,3.79e-06,0.319,0.0508,0.537
0JKQmyNAz1lmfKp4eMp2Yq,0,2017-06-02,0,266.08698,-2.447,81.206,0.08,3,0.797,9,0.625,0,0.539,0.33399999999999996,0.295,0.871,0.0,0.249,0.0476,0.655
0McgpC17Imk4Ck8rFnatGO,0,2017-02-12,0,202.2,-11.41,100.021,0.368,4,1.0,7,0.6,1,0.262,0.0105,0.82,0.617,0.000261,0.0713,0.24600000000000002,0.647
0PsPBdQ5ExVPsx8WbSGKUX,5,2017-06-25,0,255.40404,-5.72,132.107,1.0,4,1.0,0,0.189,1,0.298,0.0939,0.723,0.9640000000000001,0.0008029999999999999,0.0868,0.17800000000000002,0.7020000000000001
0SYnsrjdztOywMMqA4vVa9,29,2017-08-03,0,192.11537,-3.44,104.0,0.675,4,1.0,0,0.278,0,0.374,0.0737,0.6579999999999999,0.9079999999999999,0.0,0.336,0.15,0.741
0UJyPy8NX6imuZgjQi1hxN,0,2017-10-11,0,195.2941,-1.539,101.952,0.8690000000000001,4,1.0,11,0.7509999999999999,0,0.73,0.166,0.7559999999999999,0.9520000000000001,0.0,0.13699999999999998,0.0658,0.866
0Ueo4WY726dmMQMV7S8rZ7,0,2017-07-20,0,197.02449,-6.526,130.42600000000002,0.237,5,0.448,7,0.29100000000000004,0,0.301,0.27699999999999997,0.568,0.6940000000000001,0.0,0.0804,0.0767,0.48
0fZo066WF6qRr0uooE125a,0,2017-08-28,0,235.44998,-6.562,140.031,0.873,4,1.0,7,0.34600000000000003,0,0.318,0.0413,0.68,0.9209999999999999,0.45399999999999996,0.156,0.0626,0.755
0fbQw6pFuIIVNu4VlEfd24,0,2017-04-10,0,265.79329,-5.4220000000000015,103.013,0.904,4,1.0,8,0.011,1,0.339,0.494,0.8009999999999999,0.94,0.0,0.0772,0.15,0.879
0gr6DU9UcoVmarrMRkLzpF,3,2017-01-30,0,255.88,-11.208,125.091,0.126,4,1.0,3,0.198,0,0.149,0.45799999999999996,0.625,0.503,0.0,0.11900000000000001,0.102,0.5670000000000001
0hiN4P3zp0GGIxDtbLVwqu,0,2017-11-19,0,261.33188,-8.28,113.029,0.885,4,1.0,7,0.615,0,0.902,0.214,0.8170000000000001,0.7290000000000001,0.000341,0.114,0.0481,0.8909999999999999
0mNeOrlNl8zvnBxhElDmjf,32,2017-02-14,0,250.21551,-3.44,129.987,0.122,4,0.974,8,0.272,1,0.342,0.141,0.672,0.961,0.0,0.0741,0.243,0.773
0oEcok2v13HYAME0zO4m0c,14,2017-08-28,0,225.87342,-5.407,84.26100000000002,0.173,4,0.997,9,0.308,1,0.442,0.53,0.402,0.718,0.0,0.45399999999999996,0.045,0.6729999999999999
0odbk7jnirka01nMFlz2ca,0,2017-04-28,0,306.16435,-6.55,145.915,0.496,4,0.982,1,0.519,0,0.5770000000000001,0.134,0.617,0.8009999999999999,0.00428,0.10099999999999999,0.0384,0.228
0p4Rsl4qQWqIDQNxTeDzLL,3,2017-04-24,0,231.10259,-6.255,170.09400000000005,0.204,4,1.0,2,0.44,1,0.32,0.11,0.723,0.782,0.000396,0.23199999999999998,0.319,0.6509999999999999
0qqzKArmf6zvCrAPudPLUn,0,2017-06-09,0,248.42127,-8.01,127.962,0.32,4,0.87,2,0.51,1,0.5920000000000001,0.365,0.68,0.461,8.19e-06,0.0882,0.0439,0.624
0r3v9sT9b3iv0Wo822M36U,0,2017-05-16,0,533.18531,-5.419,139.951,0.7959999999999999,4,0.967,8,0.199,1,0.371,0.0879,0.643,0.966,0.0,0.10099999999999999,0.13,0.826
0rLC6lr3ka5CAcGxjqYQWZ,1,2017-03-17,0,298.03102,-12.51,93.847,0.29600000000000004,4,0.8290000000000001,0,0.0,1,0.005,0.5660000000000001,0.75,0.769,7.43e-06,0.643,0.7929999999999999,0.321
0w0bGfRLnhNFTSBh3N2lD8,0,2017-08-15,0,279.31202,-2.415,97.882,0.462,4,1.0,2,0.041,1,0.274,0.591,0.611,0.87,0.0,0.282,0.0455,0.522
0yrA99jrOyjp6jyV6jb9vz,0,2017-10-25,0,249.04798,-6.311,146.406,0.13,4,0.983,7,0.599,1,0.8859999999999999,0.6679999999999999,0.369,0.5479999999999999,0.0,0.193,0.0392,0.35700000000000004
0z5rxhLdoK005sq3ZauDoq,21,2017-12-06,0,259.01488,-5.617000000000001,98.394,0.385,4,1.0,7,0.345,1,0.54,0.0238,0.457,0.809,1.39e-05,0.0633,0.0461,0.423
0zrJ8wDhTWRmd3u0CHxeOv,1,2017-02-20,0,229.87755,-4.854,160.037,0.556,4,1.0,8,0.7240000000000001,0,0.451,0.158,0.503,0.86,2.64e-06,0.128,0.109,0.731
