name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,97,14/12/2018,hit,158.04,-5.574,89.911,0.169,4,1,2,0.296,1,0.484,0.556,0.76,0.479,0,0.0703,0.0466,0.913
Wow.,6MWtB6iiXyIwun0YzU6DFP,97,24/12/2018,hit,149.52,-7.399,99.947,0.272,4,1,11,0.483,0,0.508,0.163,0.833,0.539,2.10E-06,0.101,0.178,0.385
Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,93,21/12/2018,hit,189.48658,-5.239,93.023,0.031,4,0.989,9,0.096,1,0.258,0.0153,0.581,0.662,0,0.111,0.303,0.434
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,93,30/11/2018,hit,180.52204,-6.365,86.003,0.056,4,0.947,4,0.54,0,0.523,0.259,0.889,0.496,0,0.252,0.0905,0.544
Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,92,3/8/2018,hit,268.43429,-7.985,115.007,0.44,4,0.676,0,0.565,0,0.751,0.145,0.759,0.73,3.06E-06,0.11,0.0516,0.74
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,89,5/10/2018,hit,145.54254,-6.977,112.502,0.756,4,1,1,0.276,0,0.47,0.103,0.896,0.671,0,0.552,0.289,0.358
a lot,2t8yVaLvJ0RenpXUIAC52d,89,21/12/2018,hit,288.62417,-7.643,145.972,0.459,4,0.952,1,0.21,1,0.409,0.0395,0.837,0.636,0.00125,0.342,0.086,0.274
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,91,3/8/2018,hit,312.82041,-3.714,155.008,0.256,4,0.932,8,0.411,1,0.476,0.00513,0.834,0.73,0,0.124,0.222,0.446
Without Me,5p7ujcrUXASCNwRaWNHR1C,94,4/10/2018,hit,201.66068,-7.05,136.041,0.726,4,1,6,0.562,1,0.585,0.297,0.752,0.488,9.11E-06,0.0936,0.0705,0.533
Thotiana,3oh6SCCeLuXhFpEyepla6G,90,18/12/2018,hit,129.26404,-12.89,104.025,0.725,4,1,10,0.202,0,0.59,0.18,0.906,0.382,0,0.113,0.269,0.391
Happier,2dpaYNEQHiRxtZbfNsse99,95,17/8/2018,hit,214.28957,-2.749,100.015,0.265,4,0.986,5,0.567,1,0.587,0.191,0.687,0.792,0,0.167,0.0452,0.671
Envy Me,05t7JMip6JrLuSrMV5yYjX,87,13/12/2018,hit,120.13651,-7.663,149.025,0.212,4,1,11,0,1,0.209,0.282,0.556,0.481,0,0.216,0.313,0.581
Faucet Failure,1ThmUihH9dF8EV08ku5AXN,88,30/11/2018,hit,145.62667,-9.373,99.993,0.23,4,1,10,0.355,0,0.387,0.111,0.935,0.552,0,0.0952,0.335,0.615
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,92,19/4/2018,hit,200.18571,-10.109,115.284,0.152,4,0.771,4,0.498,0,0.592,0.934,0.351,0.296,0,0.095,0.0333,0.12
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,90,10/12/2018,hit,239.83578,-7.23,83.903,0.127,4,1,6,0.161,0,0.388,0.349,0.511,0.566,0,0.34,0.2,0.218
Better,6zeeWid2sgw4lap2jV61PZ,87,18/10/2018,hit,229.32,-10.278,97.949,0.731,4,0.984,0,0.792,0,0.768,0.0765,0.596,0.552,0.334,0.104,0.097,0.112
Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,89,5/10/2018,hit,183.90667,-5.266,146.034,0.944,4,1,4,0.379,1,0.352,0.194,0.729,0.625,0.00986,0.248,0.0315,0.261
ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,89,14/12/2018,hit,228.75955,-5.788,98.043,0.526,4,1,8,0.851,0,0.714,0.0521,0.861,0.603,0,0.0924,0.176,0.504
Better Now,7dt6x5M1jzdTEt8oCbisTK,91,27/4/2018,hit,231.26667,-5.804,145.038,0.484,4,0.994,10,0.652,1,0.416,0.354,0.68,0.563,0,0.136,0.0454,0.374
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,93,16/11/2018,hit,169.35383,-5.714,150.073,0.445,4,0.983,1,0.807,0,0.726,0.74,0.652,0.557,0,0.124,0.0318,0.483
SAD!,3ee8Jmje8o58CHK66QrVC2,90,16/3/2018,hit,166.60553,-4.88,75.023,0.023,4,1,8,0.374,1,0.419,0.258,0.74,0.613,0.00372,0.123,0.145,0.473
Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,88,21/12/2018,hit,179.44948,-5.075,96.057,0.02,4,1,3,0.619,0,0.478,0.407,0.791,0.587,0,0.148,0.0413,0.536
Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,87,4/9/2018,hit,195.6371,-2.806,150.024,0.219,4,0.877,7,0.845,1,0.703,0.107,0.792,0.743,0,0.183,0.0851,0.742
