id,popularity,release_date,hitmiss_spotify,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,chart_scraped,peak_position,weeks_on_chart,hitmiss_billboard
5Q0Nhxo0l2bP3pNjpGJwV1,75,1/1/09,1,202.06667,-4.526,192.18,0.203,4.0,1.0,10.0,0.377,0.0,0.409,0.00124,0.45399999999999996,0.708,0.000181,0.0679,0.0675,0.483,2/1/10,1,11,1
3Pzh926pXggbMe2ZpXyMV7,74,24/3/09,1,175.49333000000001,-7.075,156.004,0.151,4.0,1.0,0.0,0.787,1.0,0.475,0.0438,0.634,0.8490000000000001,0.0,0.363,0.105,0.919,2/1/10,65,2,1
5FEXPoPnzueFJQCPRIrC3c,72,1/1/09,1,221.26667,-6.362,138.035,0.63,4.0,0.887,11.0,0.778,0.0,0.688,0.503,0.878,0.446,6.32e-06,0.11699999999999999,0.0635,0.805,2/1/10,57,13,1
3DamFFqW32WihKkTVlwTYQ,78,1/1/09,1,228.34667000000002,-6.72,90.00200000000001,0.0,4.0,0.941,3.0,0.488,1.0,0.546,0.0294,0.591,0.649,0.0,0.133,0.0417,0.489,2/1/10,72,7,1
5iSEsR6NKjlC9SrIJkyL3k,70,1/1/09,1,295.29332999999997,-8.906,115.29299999999999,0.5,4.0,0.9690000000000001,0.0,0.0,1.0,0.247,0.511,0.629,0.622,0.000174,0.38299999999999995,0.0404,0.264,2/1/10,70,7,1
7w5cxTEzp1rfV3KCy0Bd5N,73,14/7/09,1,303.2,-6.622999999999999,111.665,0.75,4.0,0.625,2.0,0.765,1.0,0.7859999999999999,0.292,0.542,0.589,0.000522,0.177,0.0318,0.13699999999999998,NaN,NaN,NaN,0
5vlEg2fT4cFWAqU5QptIpQ,72,11/8/09,1,182.30667,-6.3229999999999995,91.031,0.8079999999999999,4.0,1.0,9.0,0.369,1.0,0.456,0.17300000000000001,0.706,0.7509999999999999,0.0,0.168,0.0708,0.195,2/1/10,57,12,1
2UREu1Y8CO4jXkbvqAtP7g,73,21/8/09,1,178.01333,-2.336,134.99200000000002,0.9159999999999999,4.0,1.0,8.0,0.552,1.0,0.591,0.0431,0.64,0.9570000000000001,0.0,0.0789,0.0741,0.6920000000000001,NaN,NaN,NaN,0
4IoYz8XqqdowINzfRrFnhi,74,30/1/09,1,241.85332999999997,-5.412000000000001,151.994,0.04,4.0,0.9670000000000001,8.0,0.344,0.0,0.455,0.0187,0.33799999999999997,0.8029999999999999,0.0,0.136,0.0413,0.4,2/1/10,69,3,1
7LP4Es66zdY7CyjepqmvAg,71,1/1/09,1,212.10667,-4.505,66.002,0.013999999999999999,4.0,1.0,11.0,0.0,0.0,0.15,0.0149,0.6629999999999999,0.693,0.0,0.0778,0.0311,0.71,NaN,NaN,NaN,0
3iL2l5gUqyPS6vDwJFgJTR,70,1/1/09,1,288.13333,-6.0889999999999995,148.001,0.46299999999999997,4.0,0.9329999999999999,8.0,0.16699999999999998,1.0,0.078,0.109,0.732,0.659,0.0,0.141,0.225,0.575,2/1/10,NaN,NaN,1
1NhPKVLsHhFUHIOZ32QnS2,75,1/1/09,1,224.69332999999997,-6.199,148.024,0.598,4.0,1.0,2.0,0.21899999999999997,1.0,0.40700000000000003,0.098,0.515,0.767,0.0,0.121,0.0352,0.38,NaN,NaN,NaN,0
2yXyz4NLTZx9CLdXfLTp5E,70,1/1/09,1,216.73333,-3.65,107.94200000000001,0.524,4.0,1.0,8.0,0.525,1.0,0.616,0.000192,0.5429999999999999,0.9520000000000001,7.8e-06,0.38,0.0668,0.591,2/1/10,64,6,1
